time_h,D,E,C,H_e,M_t
1.58,1.110882290867895,0.7855920451548999,0.4323036468790749,0.5513711615674414,0.14730635903120023
1.59,1.1152538685684024,0.7826327420246048,0.45957992453513047,0.5588014536849689,0.14787088713599997
1.6,1.1195097909599288,0.7816913271647056,0.41493353071487915,0.5664897180419786,0.14841944552425554
1.61,1.1236502663313404,0.7842038770456854,0.4185054958704325,0.574929872870917,0.14896333042723547
1.62,1.1276755320971945,0.758261511449508,0.4445685049959702,0.5830053013412937,0.14950430338532716
1.6300000000000001,1.1315858540981059,0.7919471374541669,0.4320904638154342,0.5911148725471971,0.15004124710004113
1.6400000000000001,1.1353815259069693,0.760166225738429,0.42677258272935525,0.5986678954419394,0.15056799841739113
1.6500000000000001,1.1390628681412391,0.7544465816335151,0.4306770602363994,0.6064481946195083,0.15108973271410228
1.6600000000000001,1.142630227781428,0.7877049748862262,0.4472484862580412,0.6142774695554117,0.15161405091273106
1.67,1.1460839774960003,0.7667034127714968,0.4154632558330193,0.6224600413410374,0.15212353348546098
1.68,1.149424514972804,0.7553783623163509,0.4554123508747707,0.6304388138901696,0.15263491851380223
1.69,1.1526522622571937,0.78150433182858,0.4241644505877254,0.638569160077846,0.15313761488214983
1.7,1.1557676650969797,0.7977733376240753,0.4369843454699493,0.6461275545992642,0.15364017214968573
1.71,1.1587711922943194,0.7813224876136575,0.4529635352050323,0.6542518143775933,0.1541390029406603
1.72,1.1616633350646788,0.7687213840232878,0.42326720869199597,0.6626019862014676,0.154624930778141
1.73,1.1644446064029634,0.7881153673242118,0.44697409471481003,0.6707961314395803,0.15511292659143275
1.74,1.167115540456922,0.8156221040018465,0.4362193079699782,0.6793658639520406,0.15559654914232385
1.75,1.1696766919079133,0.7728094354001743,0.416912563791822,0.6872147459730135,0.1560666211426037
1.76,1.172128635359117,0.7988729919691614,0.4397758105066923,0.6954445619155382,0.15653925790074705
1.77,1.1744719647312678,0.776193323700571,0.4436400995442827,0.703996941722706,0.1570049670180708
1.78,1.1767072926659792,0.7859210388721497,0.43970057337306395,0.7122638630397012,0.15746607943375332
1.79,1.1788352499367185,0.8061842895166538,0.47239912104860027,0.7203002711452531,0.1579313924216798
1.8,1.1808564848674876,0.7866815159977865,0.45597750267746423,0.728940913664001,0.15838601962810028
1.81,1.1827716627592586,0.8016086756576712,0.4330254906266175,0.737300674213532,0.15883293237732587
1.82,1.1845814653242048,0.7940295602787979,0.4102147205901945,0.7458495663070229,0.1592697741589406
1.83,1.186286590127765,0.7965148914187989,0.4069860059205788,0.7545542605676715,0.15970137414310104
1.84,1.1878877500385685,0.8078252605577407,0.41889221101690877,0.7626691267322674,0.16013185162568075
